A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,BRIX
457.27,165.28,378.55,153.86,320.41,760.26,374.17,641.66,443.78,138.86,332.72,155.55,3573.53,610.28,253.16,144.65,456.31,588.89,11.9
399.08,164.21,377.49,183.37,338.01,730.47,337.4,415.1,173.18,96.73,336.84,155.43,1776.5,251.76,202.16,116.15,318.88,533.76,13.9
640.44,195.9,438.32,193.13,369.04,860.99,313.26,371.08,163.58,78.21,291.8,139.56,1168.01,147.94,241.52,121.98,265.95,493.12,11.8
976.42,240.47,619.99,154.74,368.76,866.78,430.37,620.42,330.4,130.81,295.69,144.5,1979.3,246.68,249.23,134.3,338.62,528.1,12.1
450.72,280.06,727.81,295.1,508.94,892.5,377.33,598.42,361.68,140.53,340.34,161.36,3323.15,512.67,245.87,144.87,452.51,580.14,13.1
737.06,310.55,915.09,208.33,351.06,824.81,379.77,664.24,457.31,150.41,301.62,148.82,2893.18,428.78,230.46,133.15,393.51,543.76,14.2
425.23,235.93,876.57,113.43,198.69,624.05,604.85,879.84,525.26,145.55,221.8,124.12,2353.34,372.36,165.73,106.62,342.79,469.74,11.7
646.32,186.56,345.83,107.78,247.42,689.05,349.71,536.98,325.69,115.75,261.4,118.56,2180.34,244.07,255.62,131.79,338.62,516.71,13.8
189.46,107.01,202.61,93.74,175.53,560.56,307.09,462.96,250.43,99.1,345.28,153.02,2325.99,300.63,228.37,125.04,341.52,499.29,13.5
339.67,157.14,332.87,153.04,234.52,556.54,301.56,482.59,284.97,104.61,300.89,140.48,2307.83,249.95,244.04,129.28,340.84,517.96,14
726,259.79,552.62,202.9,218.69,516.37,424.63,670.94,422.19,141.85,290.53,140.73,2587.17,403.31,222.55,129.72,390.24,558.24,13.3
583.01,343.76,1077.5,325.82,493.88,908.65,391.05,640.46,392.18,136.45,308.64,150.73,2820.78,510.87,236.33,143.94,415.41,591.17,13.7
712.19,254.61,663.61,195.16,401.32,858.54,536.95,656.03,297.3,124.01,277.08,141.1,1551.71,233.57,244.82,134.52,320.1,568.9,13.9
651.64,278.41,638.19,232.85,392.59,696.13,395.91,622.5,365.1,132.46,303.4,149.93,2631.84,403.24,209.97,127.27,391.03,524.06,13.6
756.71,301.21,938.71,254.18,523.81,1132.6,492.42,623.08,296.37,123.42,305.79,147.21,1865.3,330.51,231.25,137.08,342.9,570.51,14.1
422.32,289.21,558.16,417.31,531.53,697.11,274.47,489.47,359.76,121.45,326.47,152.4,3649.23,637.75,216.94,134.08,458.37,564.85,12.9
643.76,250.89,637.87,215.84,380.55,859.14,572.37,799.22,428.88,154.94,312.49,158.58,2577.83,393.08,229.78,138.93,411.82,616.38,12.6
636.8,243.88,620.67,200.43,373.31,805.19,479.44,648.06,304.28,129.33,268.34,140.73,2009.18,290.26,206.51,121.33,336.03,527,13.25
760.34,269.96,738.21,175.75,319.36,773.08,397.15,668.75,435.42,134.83,292.99,142.77,2790.67,384.66,237.33,138.49,394.99,546.85,13.8
397.09,214.97,536.16,238.28,382.57,729.08,282.41,438.67,256.33,107.36,323.05,148.26,2058.98,226.29,278.68,139.69,324.42,520.97,12.9
566.69,234.1,594.56,212.28,323,612.89,422.82,611.69,305.42,123.85,289.33,140.79,1959.15,223.68,192.88,109.18,320.57,490.91,15.1
762.14,280.81,719.46,210.19,306.46,659.4,430.37,721.67,499.8,158.45,311.29,150.06,3085.1,554.92,233.45,145.08,437.68,606.68,13.1
365.66,227.4,631.95,219.68,405.64,815.74,460.83,669.2,364.14,125.58,323.62,159.69,1705.55,260.78,232.98,135.06,332.66,586.98,12.7
609.93,243,635.51,174.48,255.76,639.18,462.28,743.66,457.16,148.44,271.19,137.64,2851.88,453.85,218.93,134.68,415.99,556.25,13.9
607.27,285.99,648.59,249.3,384.15,680.17,440.9,738.88,505.41,154.1,299.35,152.83,2795.26,412.53,214.32,130.59,398.26,570.95,14
629.33,291.04,770.5,266.25,443.33,845.49,415.9,586.41,277.59,130.92,310.72,149.13,2402.3,321.95,247.55,140.4,378.36,544.05,11.8
664.18,245.27,566.45,224.62,352.55,720.93,428.67,669.98,415.24,135.91,301.09,149.01,2628.7,401.44,211.07,126.62,391.77,549.2,13.4
918.38,229.17,488.3,154.68,336.77,823.98,383.39,519.98,243.2,110.65,282.59,133.38,2359.47,303.63,248.18,133.21,374.14,552.14,11
732.35,243.25,563.71,229.39,348.09,713.62,386.16,665.09,436.08,142.47,306.44,150.06,2858.78,437.74,219.93,132.44,411.4,575.95,12.3
664.69,245.21,622.48,205.69,404.01,879.69,438.49,578.92,274.66,124.96,318.96,157.22,2052.24,258.84,247.03,137.84,357.3,575.44,14.2
